trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20200422-1ec92e,SHORT,2020-04-22 07:30,2020-04-22 08:40,8550.2,8569.3,8500.89,19.1,8500.1,ASIAN,8570.31,8556.75,8552.2,8468.03,BEARISH,LOSS,2020-04-22 08:50,8571.3,-1.105,-1104.69,-21.1
20200424-fbb8b3,SHORT,2020-04-24 09:05,2020-04-24 09:30,8670.02,8689.36,8619.99,19.34,8575.7,ASIAN,8684.0,8672.12,8672.02,8546.51,BEARISH,WIN,2020-04-24 09:45,8619.99,2.586,2586.44,50.03
20200429-2293b5,SHORT,2020-04-29 09:25,2020-04-29 09:45,8890.52,8910.31,8839.16,19.79,8857.02,PREV_WEEK,8900.72,8898.82,8892.52,8849.62,BEARISH,LOSS,2020-04-29 09:55,8912.31,-1.101,-1101.09,-21.79
20200501-75e008,LONG,2020-05-01 09:15,2020-05-01 09:25,8801.83,8782.24,8852.63,19.6,8797.59,PREV_DAY,8781.57,8807.25,8796.79,8825.35,BULLISH,WIN,2020-05-01 09:35,8852.63,2.592,2591.83,50.8
20200504-fd3307,SHORT,2020-05-04 07:30,2020-05-04 09:00,8660.21,8679.53,8610.24,19.32,8676.39,PREV_DAY,8695.6,8662.88,8659.0,8676.11,BEARISH,LOSS,2020-05-04 09:10,8681.53,-1.103,-1103.5,-21.32
20200508-f54827,LONG,2020-05-08 10:35,2020-05-08 10:55,9172.79,9152.45,9225.81,20.34,9148.52,ASIAN,9141.67,9179.1,9169.7,9214.69,BULLISH,WIN,2020-05-08 13:05,9225.81,2.607,2606.72,53.02
20200511-1389dd,LONG,2020-05-11 09:25,2020-05-11 09:30,9156.79,9136.48,9209.72,20.31,9183.6,PREV_DAY,9147.27,9154.79,9151.82,9280.32,BULLISH,WIN,2020-05-11 09:35,9209.72,2.606,2606.1,52.93
20200513-8164c4,SHORT,2020-05-13 08:35,2020-05-13 08:40,9158.69,9179.01,9105.73,20.32,9097.29,ASIAN,9175.3,9162.95,9160.69,9094.77,BEARISH,WIN,2020-05-13 09:05,9105.73,2.606,2606.33,52.96
20200514-1d877c,SHORT,2020-05-14 08:05,2020-05-14 09:35,8977.8,8997.76,8925.92,19.96,9023.02,ASIAN,9036.6,8986.96,8979.8,9007.59,BEARISH,WIN,2020-05-14 09:40,8925.92,2.599,2599.19,51.88
20200515-d95e93,SHORT,2020-05-15 07:40,2020-05-15 10:10,9049.98,9070.08,8997.67,20.1,9127.1,PREV_DAY,9134.59,9059.92,9046.69,9103.6,BEARISH,WIN,2020-05-15 10:50,8997.67,2.602,2602.07,52.31
